Tag_Number,Release_Da,Latitude_bad,Longitude_bad,Species_Na,Length,Weight,Latitude_F,Longitude_
B013549,12/10/11,33.05S,152.24E,STRIPED MARLIN,0,60,-33.08333333,152.4166667
B081474,2/18/12,33.05S,152.24E,STRIPED MARLIN,0,80,-33.08333333,152.4166667
B097417,2/13/15,33.03S,152.26E,BLACK MARLIN,190,70,-33.08333333,152.4166667
B040284,3/27/08,33.07S,152.22E,STRIPED MARLIN,0,40,-33.08333333,152.3333333
B104791,2/28/21,35.11S,150.57E,BLACK MARLIN,215,90,-35.16666667,150.9166667
B158263,4/14/19,35.11S,150.57E,STRIPED MARLIN,220,80,-35.16666667,150.9166667
B159143,1/30/21,35.11S,150.57E,STRIPED MARLIN,0,60,-35.16666667,150.9166667
B181035,2/13/22,35.11S,150.57E,STRIPED MARLIN,0,90,-35.16666667,150.9166667
A533400,11/24/12,35.12S,150.59E,ALBACORE,80,8,-35.16666667,151
B025631,11/24/07,35.11S,151.03E,STRIPED MARLIN,250,100,-35.16666667,151.0833333
S162850,11/24/05,35.11S,151.03E,YELLOWFIN TUNA,90,12,-35.16666667,151.0833333
S165621,11/23/02,35.11S,151.03E,MAKO SHARK,240,80,-35.16666667,151.0833333
S210312,12/30/05,35.11S,151.03E,HAMMERHEAD SHARK,100,5,-35.16666667,151.0833333
S221238,11/10/07,35.11S,151.03E,ALBACORE,80,6,-35.16666667,151.0833333
S171941,3/3/01,33.49S,152.31E,STRIPED MARLIN,220,70,-33.83333333,152.5
A341080,11/11/07,35.11S,151.03E,YELLOWFIN TUNA,0,6,-35.16666667,151.0833333
A376950,11/16/02,35.11S,151.03E,YELLOWFIN TUNA,0,6,-35.16666667,151.0833333
A413260,11/22/01,35.11S,151.03E,YELLOWFIN TUNA,90,15,-35.16666667,151.0833333
A425376,11/24/06,35.11S,151.03E,ALBACORE,0,10,-35.16666667,151.0833333
A463924,11/11/06,35.11S,151.03E,YELLOWFIN TUNA,0,8,-35.16666667,151.0833333
A478468,11/26/06,35.11S,151.03E,YELLOWFIN TUNA,80,8,-35.16666667,151.0833333
S256047,4/8/18,34.58S,150.56E,WHALER SHARK,0,50,-35,150.9166667
B041163,2/25/23,35.06S,150.57E,BLACK MARLIN,140,40,-35.08333333,150.9166667
B052995,3/13/15,35.09S,150.51E,BLACK MARLIN,0,75,-35.16666667,150.8333333
B082690,12/31/15,35.07S,151.00E,STRIPED MARLIN,0,110,-35.08333333,151
B147361,2/7/21,35.05S,151.00E,STRIPED MARLIN,210,65,-35.08333333,151
A290475,7/1/01,35.11S,151.03E,MAKO SHARK,160,60,-35.16666667,151.0833333
B017002,2/9/07,33.04S,152.28E,STRIPED MARLIN,210,65,-33.08333333,152.5
B026471,2/2/08,33.04S,152.28E,STRIPED MARLIN,0,90,-33.08333333,152.5
B098989,1/1/16,33.03S,152.28E,STRIPED MARLIN,0,65,-33.08333333,152.5
S219162,3/5/05,33.04S,152.28E,BLACK MARLIN,0,30,-33.08333333,152.5
A363555,2/2/01,35.02S,150.51E,STRIPED MARLIN,0,80,-35,150.8333333
S202898,3/20/05,35.03S,150.51E,DOLPHINFISH,0,1,-35.08333333,150.8333333
B028668,4/14/11,34.48S,151.10E,STRIPED MARLIN,240,85,-34.83333333,151.1666667
B059563,1/9/16,33.12S,152.16E,STRIPED MARLIN,0,65,-33.16666667,152.25
S175773,4/16/00,33.12S,152.16E,STRIPED MARLIN,160,50,-33.16666667,152.25
B103314,2/28/16,33.12S,152.20E,BLUE MARLIN,230,120,-33.16666667,152.3333333
B063109,3/1/12,33.09S,152.23E,BLACK MARLIN,210,60,-33.16666667,152.4166667
B013725,3/11/06,33.04S,152.28E,BLUE MARLIN,250,140,-33.08333333,152.5
S255269,2/9/23,34.56S,150.54E,WHALER SHARK,0,50,-34.91666667,150.9166667
A276397,3/26/10,34.57S,150.59E,DOLPHINFISH,40,0,-34.91666667,151
A479966,11/9/08,34.57S,151.05E,ALBACORE,0,0,-34.91666667,151.0833333
B000664,1/5/08,34.56S,151.04E,STRIPED MARLIN,220,75,-34.91666667,151.0833333
B118229,2/19/21,34.57S,151.05E,BLACK MARLIN,0,100,-34.91666667,151.0833333
S190938,4/30/05,34.57S,151.05E,WHALER SHARK,150,30,-34.91666667,151.0833333
B062884,2/4/18,33.22S,152.03E,STRIPED MARLIN,0,75,-33.33333333,152.0833333
S177700,10/17/04,33.20S,152.04E,YELLOWFIN TUNA,0,4,-33.33333333,152.0833333
B046403,3/11/18,34.57S,150.56E,BLACK MARLIN,0,80,-34.91666667,150.9166667
S182585,12/16/01,34.57S,150.56E,WHALER SHARK,145,25,-34.91666667,150.9166667
S212176,2/21/09,34.57S,150.56E,WHALER SHARK,0,0,-34.91666667,150.9166667
S251266,4/13/13,34.56S,150.55E,WHALER SHARK,200,100,-34.91666667,150.9166667
S137937,8/2/00,34.00S,151.38E,MAKO SHARK,0,100,-34,151.6666667
