Tag_Number,Release_Da,Latitude,Longitude,Species_Na,Length,Weight,Latitude_F,Longitude_
S194406,9/20/08,34.47S,151.16666667,MAKO SHARK,210.0,100.0,-34.75,151.16666666700007
S197273,1/11/04,33.13S,152.58333333,STRIPED MARLIN,0.0,75.0,-33.25,152.58333333300004
A399809,2/17/02,32.42S,152.41666667,DOLPHINFISH,45.0,1.0,-32.66666667,152.41666666700007
S169805,2/7/02,27.56S,153.66666667,BLACK MARLIN,0.0,20.0,-27.91666667,153.66666666700007
A429113,1/2/07,27.26S,153.75,YELLOWFIN TUNA,65.0,3.0,-27.41666667,153.7500000000001
S193106,12/14/01,26.56S,153.66666667,BLACK MARLIN,0.0,12.0,-26.91666667,153.66666666700007
S154157,7/13/00,17.28S,119.33333333,SAILFISH,198.0,20.0,-17.5,119.33333333300004
S188559,10/13/01,26.31S,153.5,SAILFISH,270.0,45.0,-26.5,153.5000000000001
A390863,4/22/01,26.57S,153.5,WAHOO,140.0,20.0,-26.91666667,153.5000000000001
S165640,2/16/02,35.11S,151.08333333,STRIPED MARLIN,0.0,80.0,-35.16666667,151.08333333300004
D001657,11/25/05,35.06S,151.0,YELLOWFIN TUNA,80.0,10.0,-35.08333333,151.0000000000001
S234006,3/27/10,34.57S,150.91666667,WHALER SHARK,0.0,40.0,-34.91666667,150.91666666700007
S243332,1/6/11,29.55S,159.08333333,WHALER SHARK,100.0,10.0,-29.91666667,159.08333333300004
A412781,10/27/01,28.52S,153.75,DOLPHINFISH,90.0,8.0,-28.83333333,153.7500000000001
S175015,12/28/01,27.56S,153.5,BLACK MARLIN,180.0,25.0,-27.91666667,153.5000000000001
A209393,3/9/05,37.05S,150.25,YELLOWFIN TUNA,80.0,6.5,-37.08333333,150.2500000000001
A306848,3/25/01,37.05S,150.25,STRIPED MARLIN,237.0,90.0,-37.08333333,150.2500000000001
A367236,2/8/00,42.51S,148.25,ALBACORE,54.0,3.0,-42.83333333,148.2500000000001
A433443,4/6/05,28.52S,113.83333333,YELLOWFIN TUNA,0.0,0.0,-28.83333333,113.83333333300004
A359030,3/1/21,32.03S,115.33333333,SOUTHERN BLUEFIN TUNA,64.0,5.6,-32.08333333,115.33333333300004
S208052,6/5/04,20.30S,116.75,SAILFISH,180.0,0.0,-20.5,116.75000000000011
