OBJECTID,Tag_Number,Release_Date,Latitude,Longitude,Species_Name,Length,Weight,Latitude_FiveNM,Longitude_FiveNM,Moon_Phase,Wind_Direction_10m,Rain_mm,Is_Raining,Sea_Surface_Temp_C
88,A116644,1001289600000,-30.33333333217695,153.41666666700007,YELLOWFIN TUNA,,6.0,-30.33333333,153.41666667,0.2234264877516849,13.0,0.0,False,
89,A116645,1001116800000,-30.33333333217695,153.41666666700007,YELLOWFIN TUNA,60.0,6.0,-30.33333333,153.41666667,0.1557001033456811,127.0,0.0,False,
90,A116646,1001289600000,-30.33333333217695,153.41666666700007,YELLOWFIN TUNA,60.0,6.0,-30.33333333,153.41666667,0.2234264877516849,13.0,0.0,False,
91,A116846,1109376000000,-30.916666666167753,153.08333333300004,COBIA,90.0,10.0,-30.91666667,153.08333333,0.5862799337070472,44.0,0.0,False,
92,A116848,1109376000000,-30.916666666167753,153.08333333300004,COBIA,80.0,7.0,-30.91666667,153.08333333,0.5862799337070472,44.0,0.0,False,
94,A117294,1028246400000,-20.083333332390747,116.58333333300006,SPANISH MACKEREL,91.0,8.0,-20.08333333,116.58333333,0.788742455088275,109.0,0.0,False,
95,A117295,1028246400000,-20.083333332390747,116.58333333300006,LONGTAIL TUNA,80.0,8.0,-20.08333333,116.58333333,0.788742455088275,109.0,0.0,False,
96,A117297,1028246400000,-20.33333333238448,116.58333333300006,SPANISH MACKEREL,110.0,10.0,-20.33333333,116.58333333,0.788742455088275,106.0,0.0,False,
97,A117298,1028246400000,-20.083333332390747,116.58333333300006,WHALER SHARK,120.0,10.0,-20.08333333,116.58333333,0.788742455088275,109.0,0.0,False,
98,A117300,1028246400000,-20.083333332390747,116.58333333300006,SPANISH MACKEREL,96.0,8.0,-20.08333333,116.58333333,0.788742455088275,109.0,0.0,False,
100,A118475,986688000000,-29.166666666196452,113.66666666700009,YELLOWFIN TUNA,,18.0,-29.16666667,113.66666667,0.5005470054443653,121.0,0.0,False,
101,A118476,986688000000,-29.166666666196452,113.66666666700009,YELLOWFIN TUNA,0.0,35.0,-29.16666667,113.66666667,0.5005470054443653,121.0,0.0,False,
102,A118547,1122595200000,-20.499999999380343,116.5000000000001,WHALER SHARK,240.0,120.0,-20.5,116.5,0.7673483407663365,112.0,0.0,False,
103,A118567,1154908800000,-20.41666666638243,116.66666666700009,SPANISH MACKEREL,110.0,10.0,-20.41666667,116.66666667,0.4321822246890516,95.0,0.0,False,
104,A118751,1047945600000,-34.083333332123864,151.66666666700007,YELLOWFIN TUNA,0.0,15.0,-34.08333333,151.66666667,0.5095502773727024,27.0,0.0,False,
105,A118755,1139875200000,-33.083333332136604,152.5000000000001,BLACK MARLIN,0.0,90.0,-33.08333333,152.5,0.5399867813667225,105.0,0.0,False,
106,A118756,1047945600000,-34.083333332123864,151.66666666700007,YELLOWFIN TUNA,0.0,15.0,-34.08333333,151.66666667,0.5095502773727024,27.0,0.0,False,
107,A118757,1047945600000,-34.083333332123864,151.66666666700007,YELLOWFIN TUNA,0.0,15.0,-34.08333333,151.66666667,0.5095502773727024,27.0,0.0,False,
108,A118758,1047945600000,-34.083333332123864,151.66666666700007,YELLOWFIN TUNA,0.0,15.0,-34.08333333,151.66666667,0.5095502773727024,27.0,0.0,False,
109,A118759,1047945600000,-34.083333332123864,151.66666666700007,YELLOWFIN TUNA,0.0,15.0,-34.08333333,151.66666667,0.5095502773727024,27.0,0.0,False,
110,A118760,1047945600000,-34.083333332123864,151.66666666700007,YELLOWFIN TUNA,0.0,15.0,-34.08333333,151.66666667,0.5095502773727024,27.0,0.0,False,
113,A119984,1156636800000,-34.91666666611403,150.91666666700007,YELLOWFIN TUNA,120.0,35.0,-34.91666667,150.91666667,0.1094460687490894,6.0,0.0,False,
114,A120080,1117843200000,-22.24999999933803,113.83333333300004,BLACK MARLIN,174.0,36.0,-22.25,113.83333333,0.9048727696012324,324.0,0.5,True,
115,A121042,1142640000000,-33.49999999913112,151.91666666700007,DOLPHINFISH,90.0,2.0,-33.5,151.91666667,0.6236089318627831,83.0,0.0,False,
116,A121352,949190400000,-35.916666666103275,150.58333333300004,STRIPED MARLIN,,75.0,-35.91666667,150.58333333,0.8039215893415435,169.0,0.0,False,
118,A121792,986947200000,-28.999999999199336,113.66666666700009,SPANISH MACKEREL,,13.0,-29.0,113.66666667,0.602136582053371,155.0,0.0,False,
119,A121793,986947200000,-28.749999999203716,113.75000000000011,SPANISH MACKEREL,,15.0,-28.75,113.75,0.602136582053371,154.0,0.0,False,
120,A122447,1130025600000,-33.999999999124846,151.66666666700007,YELLOWFIN TUNA,0.0,10.0,-34.0,151.66666667,0.6795828702245069,32.0,0.0,False,
121,A122449,1141344000000,-36.24999999909993,151.33333333300004,YELLOWFIN TUNA,0.0,2.5,-36.25,151.33333333,0.1156610488177546,38.0,0.0,False,
122,A122450,1141344000000,-36.24999999909993,151.33333333300004,YELLOWFIN TUNA,0.0,3.0,-36.25,151.33333333,0.1156610488177546,38.0,0.0,False,
123,A122902,1137196800000,-30.24999999917831,153.33333333300004,DOLPHINFISH,50.0,2.0,-30.25,153.33333333,0.4902278230736639,30.0,0.0,False,
124,A122903,1137196800000,-30.24999999917831,153.33333333300004,DOLPHINFISH,50.0,2.0,-30.25,153.33333333,0.4902278230736639,30.0,0.0,False,
125,A122904,1137196800000,-30.24999999917831,153.33333333300004,DOLPHINFISH,50.0,2.0,-30.25,153.33333333,0.4902278230736639,30.0,0.0,False,
126,A122905,1137196800000,-30.24999999917831,153.33333333300004,DOLPHINFISH,50.0,2.0,-30.25,153.33333333,0.4902278230736639,30.0,0.0,False,
127,A122906,1137196800000,-30.24999999917831,153.33333333300004,DOLPHINFISH,50.0,2.0,-30.25,153.33333333,0.4902278230736639,30.0,0.0,False,
